,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,DRIVER RATING,race_ID
23,John Hunter Nemechek,29,2,24,1,30,20,-7,125,132,15,12.0,2,72,27.0,0,0.0,267,57.5,110
24,Kurt Busch,13,17,25,4,27,17,-19,90,109,49,54.4,3,159,59.6,0,0.0,266,69.1,110
25,Chase Elliott,10,6,26,1,27,7,5,84,79,72,85.7,48,218,81.7,70,26.3,266,107.1,110
26,Ross Chastain,15,16,27,5,27,17,-20,106,126,44,41.5,4,149,55.8,0,0.0,265,68.1,110
27,J.J. Yeley,37,30,28,18,37,30,-3,18,21,0,0.0,0,0,0.0,0,0.0,264,41.7,110
28,Brennan Poole,33,29,29,8,34,30,3,23,20,0,0.0,0,2,0.8,0,0.0,264,39.5,110
29,Daniel Suarez,35,32,30,28,38,32,6,9,3,0,0.0,2,0,0.0,0,0.0,263,34.2,110
30,Joey Gase,31,33,31,31,36,34,-2,13,15,0,0.0,0,0,0.0,0,0.0,258,32.2,110
31,Quin Houff,32,34,32,27,35,33,-5,16,21,0,0.0,0,0,0.0,0,0.0,258,33.3,110
32,Christopher Bell,22,27,33,13,34,27,7,66,59,0,0.0,1,2,0.8,0,0.0,257,43.7,110
33,Reed Sorenson,36,36,34,32,36,34,3,11,8,0,0.0,0,0,0.0,0,0.0,253,31.8,110
34,Garrett Smithley,34,37,35,34,38,37,1,7,6,0,0.0,0,0,0.0,0,0.0,252,25.5,110
35,Michael McDowell,28,38,36,19,38,36,-14,21,35,0,0.0,1,0,0.0,0,0.0,245,37.6,110
36,Ryan Preece,20,26,37,2,28,23,8,148,140,9,6.1,0,13,4.9,0,0.0,222,49.0,110
37,Timmy Hill,38,35,38,35,38,36,-1,5,6,0,0.0,2,0,0.0,0,0.0,175,25.4,110
0,Alex Bowman,3,3,1,1,7,2,6,59,53,48,81.4,66,200,100.0,110,55.0,200,149.3,111
1,Kyle Busch,17,9,2,2,26,9,22,200,178,102,51.0,8,183,91.5,0,0.0,200,108.7,111
2,Kurt Busch,4,15,3,2,21,9,21,122,101,80,65.6,11,172,86.0,0,0.0,200,108.2,111
3,Chase Elliott,13,5,4,3,28,8,10,180,170,103,57.2,5,192,96.0,0,0.0,200,111.6,111
4,Brad Keselowski,15,4,5,1,21,9,16,166,150,96,57.8,11,188,94.0,6,3.0,200,104.7,111
5,Denny Hamlin,28,10,6,1,31,10,24,174,150,93,53.4,1,170,85.0,0,0.0,200,93.3,111
6,Jimmie Johnson,2,2,7,1,17,4,-8,68,76,50,73.5,8,199,99.5,10,5.0,200,111.5,111
7,Aric Almirola,6,17,8,4,20,10,5,148,143,93,62.8,0,188,94.0,0,0.0,200,94.7,111
8,Kevin Harvick,5,11,9,4,21,11,-16,153,169,90,58.8,1,196,98.0,0,0.0,200,85.9,111
9,Erik Jones,29,12,10,7,31,13,22,192,170,85,44.3,3,169,84.5,0,0.0,200,84.6,111
10,Tyler Reddick,19,14,11,5,24,14,8,141,133,71,50.4,0,125,62.5,0,0.0,200,80.0,111
11,Joey Logano,7,6,12,2,27,10,-12,131,143,88,67.2,1,193,96.5,0,0.0,200,86.4,111
12,Matt DiBenedetto,12,13,13,4,24,12,-6,101,107,50,49.5,0,111,55.5,0,0.0,200,82.7,111
13,"Martin Truex, Jr.",38,7,14,1,38,9,10,169,159,87,51.5,5,185,92.5,3,1.5,200,94.1,111
14,William Byron,21,8,15,1,22,14,18,165,147,61,37.0,2,112,56.0,1,0.5,200,76.5,111
15,Chris Buescher,11,16,16,2,30,17,-8,135,143,41,30.4,0,21,10.5,0,0.0,200,69.3,111
16,Ross Chastain,27,23,17,11,28,19,9,145,136,25,17.2,0,42,21.0,0,0.0,200,66.0,111
17,Cole Custer,18,18,18,13,31,21,-8,120,128,4,3.3,0,4,2.0,0,0.0,199,62.8,111
18,Ryan Blaney,16,1,19,1,21,3,-3,81,84,67,82.7,38,197,99.0,54,27.1,199,112.8,111
19,"Ricky Stenhouse, Jr.",10,26,20,1,29,22,10,115,105,11,9.6,3,14,7.0,6,3.0,199,58.2,111
20,Kyle Larson,9,27,21,5,37,23,-10,96,106,20,20.8,1,32,16.1,0,0.0,199,66.4,111
21,Michael McDowell,8,20,22,7,32,22,-17,80,97,5,6.2,0,9,4.5,0,0.0,199,56.2,111
22,Clint Bowyer,1,25,23,1,28,18,-14,110,124,31,28.2,1,57,28.6,10,5.0,199,65.4,111
23,Austin Dillon,25,19,24,9,28,18,-4,163,167,22,13.5,1,28,14.1,0,0.0,199,63.6,111
24,John Hunter Nemechek,23,22,25,3,30,25,-5,115,120,3,2.6,3,2,1.0,0,0.0,199,49.6,111
25,Ty Dillon,24,21,26,3,32,25,-12,81,93,4,4.9,1,4,2.0,0,0.0,199,48.1,111
26,Bubba Wallace,14,29,27,8,35,27,-13,65,78,6,9.2,1,2,1.0,0,0.0,198,52.6,111
27,Daniel Suarez,31,24,28,7,31,28,-7,94,101,4,4.3,1,2,1.0,0,0.0,198,41.8,111
28,Corey LaJoie,26,30,29,18,34,29,-2,53,55,0,0.0,1,0,0.0,0,0.0,197,41.4,111
29,Ryan Preece,20,28,30,6,31,28,6,91,85,2,2.2,0,2,1.0,0,0.0,197,44.3,111
30,J.J. Yeley,30,31,31,10,33,31,-9,50,59,3,6.0,0,0,0.0,0,0.0,197,37.3,111
31,Brennan Poole,32,32,32,30,36,32,-9,17,26,0,0.0,3,0,0.0,0,0.0,195,37.0,111
32,Joey Gase,34,33,33,26,36,34,-1,41,42,0,0.0,0,0,0.0,0,0.0,193,33.2,111
33,Garrett Smithley,36,35,34,28,36,35,3,39,36,0,0.0,0,0,0.0,0,0.0,193,31.0,111
34,Quin Houff,35,34,35,33,38,35,2,27,25,0,0.0,0,0,0.0,0,0.0,192,27.7,111
35,Reed Sorenson,33,36,36,28,37,36,-6,23,29,0,0.0,2,0,0.0,0,0.0,191,27.5,111
36,Timmy Hill,37,37,37,36,38,37,1,6,5,0,0.0,0,0,0.0,0,0.0,184,24.2,111
37,Christopher Bell,22,38,38,15,34,33,-24,52,76,3,5.8,8,1,1.2,0,0.0,80,40.1,111
0,Joey Logano,13,11,1,1,28,6,56,82,26,57,69.5,25,304,96.2,60,19.0,316,121.7,112
1,Kevin Harvick,2,2,2,1,14,3,17,45,28,44,97.8,57,316,100.0,67,21.2,316,132.6,112
2,Kyle Busch,10,4,3,2,16,6,20,86,66,74,86.0,9,315,99.7,0,0.0,316,111.2,112
3,Kyle Larson,4,9,4,1,25,10,5,77,72,59,76.6,0,274,86.7,2,0.6,316,99.5,112
4,Clint Bowyer,18,6,5,2,20,11,22,103,81,86,83.5,0,282,89.2,0,0.0,316,94.7,112
5,Kurt Busch,7,18,6,5,25,14,-2,71,73,34,47.9,0,196,62.0,0,0.0,316,83.2,112
6,Chase Elliott,1,29,7,1,29,7,-4,70,74,52,74.3,60,264,83.5,93,29.4,316,127.2,112
7,Aric Almirola,6,7,8,4,19,9,15,103,88,85,82.5,2,305,96.5,0,0.0,316,100.3,112
8,Cole Custer,16,10,9,6,23,14,4,80,76,48,60.0,0,195,61.7,0,0.0,316,78.8,112
9,William Byron,17,12,10,3,22,13,3,63,60,49,77.8,0,245,77.5,0,0.0,316,83.7,112
10,Brad Keselowski,14,1,11,1,32,6,16,52,36,45,86.5,30,292,92.4,82,25.9,316,114.8,112
11,Jimmie Johnson,21,8,12,4,26,13,-7,80,87,57,71.2,0,226,71.5,0,0.0,316,78.7,112
12,Matt DiBenedetto,9,16,13,3,23,11,8,86,78,65,75.6,0,239,75.6,0,0.0,316,86.5,112
13,Alex Bowman,8,17,14,4,22,13,-8,98,106,61,62.2,3,199,63.0,0,0.0,316,80.2,112
14,Ty Dillon,25,20,15,10,28,21,10,91,81,8,8.8,0,21,6.6,0,0.0,316,62.8,112
15,Michael McDowell,22,25,16,10,31,25,-9,78,87,3,3.8,1,9,2.8,0,0.0,316,53.6,112
16,Chris Buescher,23,23,17,1,27,22,-10,85,95,2,2.4,1,14,4.4,1,0.3,316,59.1,112
17,Ryan Preece,20,24,18,10,33,23,-1,94,95,7,7.4,0,20,6.3,0,0.0,316,57.7,112
18,Bubba Wallace,27,32,19,7,35,27,-18,45,63,3,6.7,3,10,3.2,0,0.0,316,53.6,112
19,Denny Hamlin,3,31,20,2,33,24,-1,17,18,2,11.8,6,66,20.9,0,0.0,316,63.1,112
20,Daniel Suarez,31,27,21,7,32,27,-28,52,80,1,1.9,0,4,1.3,0,0.0,316,45.3,112
21,"Ricky Stenhouse, Jr.",19,22,22,13,33,22,1,88,87,4,4.5,0,4,1.3,0,0.0,316,60.5,112
22,Ross Chastain,24,14,23,10,25,18,1,92,91,17,18.5,0,89,28.2,0,0.0,316,64.2,112
23,Christopher Bell,15,19,24,5,32,20,-11,76,87,14,18.4,3,25,7.9,0,0.0,316,60.6,112
24,John Hunter Nemechek,26,15,25,11,32,20,1,97,96,7,7.2,0,47,14.9,0,0.0,316,60.0,112
25,J.J. Yeley,33,26,26,3,34,28,0,34,34,0,0.0,2,2,0.6,0,0.0,316,43.0,112
26,Corey LaJoie,28,21,27,9,31,24,-36,65,101,4,6.2,1,9,2.8,0,0.0,316,46.9,112
27,Erik Jones,11,13,28,2,31,15,-12,40,52,35,87.5,1,249,79.6,0,0.0,313,71.7,112
28,Joey Gase,37,28,29,28,38,32,1,12,11,0,0.0,2,0,0.0,0,0.0,313,33.8,112
29,Reed Sorenson,35,34,30,30,35,33,4,5,1,0,0.0,2,0,0.0,0,0.0,312,33.3,112
30,Brennan Poole,32,30,31,13,35,32,-7,8,15,0,0.0,1,1,0.3,0,0.0,292,37.1,112
31,"Martin Truex, Jr.",12,3,32,1,29,11,14,61,47,33,54.1,8,231,81.9,11,3.9,282,84.6,112
32,Tyler Reddick,29,5,33,2,31,14,8,58,50,32,55.2,11,207,78.4,0,0.0,264,79.1,112
33,Quin Houff,34,33,34,32,36,34,-4,6,10,0,0.0,0,0,0.0,0,0.0,208,32.7,112
34,Garrett Smithley,36,35,35,34,38,35,-1,2,3,0,0.0,1,0,0.0,0,0.0,181,27.8,112
35,Austin Dillon,30,36,36,6,35,31,-29,25,54,0,0.0,12,17,13.2,0,0.0,129,38.7,112
36,Ryan Blaney,5,37,37,3,32,31,-11,11,22,11,100.0,1,63,96.9,0,0.0,65,51.5,112
37,Timmy Hill,38,38,38,37,38,38,-1,3,4,0,0.0,0,0,0.0,0,0.0,51,23.2,112
0,Kevin Harvick,6,1,1,1,16,2,1,14,13,14,100.0,77,292,99.7,159,54.3,293,147.3,113
1,Alex Bowman,2,2,2,1,19,3,2,23,21,23,100.0,48,292,99.7,41,14.0,293,126.3,113
2,Kurt Busch,22,4,3,2,28,9,14,40,26,26,65.0,10,202,68.9,0,0.0,293,107.1,113
3,Chase Elliott,11,13,4,3,28,9,16,48,32,36,75.0,5,271,92.5,0,0.0,293,102.9,113
4,Denny Hamlin,10,3,5,2,31,6,1,27,26,27,100.0,14,282,96.3,0,0.0,293,109.9,113
5,"Martin Truex, Jr.",15,8,6,1,31,14,7,48,41,28,58.3,14,174,59.4,0,0.0,293,89.4,113
6,Tyler Reddick,29,6,7,5,31,13,38,73,35,32,43.8,9,196,66.9,0,0.0,293,94.7,113
7,Erik Jones,20,10,8,5,27,10,10,30,20,29,96.7,1,286,97.6,0,0.0,293,97.1,113
8,John Hunter Nemechek,34,14,9,8,34,18,-1,41,42,18,43.9,0,128,43.7,0,0.0,293,76.3,113
9,Matt Kenseth,12,20,10,9,26,14,-2,41,43,25,61.0,4,216,73.7,0,0.0,293,83.5,113
10,Austin Dillon,16,21,11,10,29,17,-13,38,51,13,34.2,0,109,37.2,0,0.0,293,75.3,113
11,Aric Almirola,5,16,12,4,28,13,6,59,53,22,37.3,0,169,57.7,0,0.0,293,84.7,113
12,Brad Keselowski,1,7,13,1,13,4,-15,12,27,12,100.0,26,293,100.0,80,27.3,293,110.4,113
13,Matt DiBenedetto,3,11,14,3,29,13,-17,35,52,29,82.9,0,225,76.8,0,0.0,293,81.5,113
14,Ryan Newman,21,12,15,9,31,16,24,65,41,25,38.5,0,130,44.4,0,0.0,293,77.3,113
15,Ryan Blaney,7,19,16,7,28,17,-7,57,64,16,28.1,0,95,32.4,0,0.0,293,70.8,113
16,Clint Bowyer,13,5,17,1,18,9,1,34,33,25,73.5,2,272,92.8,0,0.0,293,88.0,113
17,Joey Logano,9,9,18,3,30,12,-23,45,68,28,62.2,0,210,71.7,0,0.0,293,82.8,113
18,Ty Dillon,33,26,19,5,33,24,-8,58,66,0,0.0,0,11,3.8,0,0.0,293,58.3,113
19,Ryan Preece,25,18,20,3,28,19,6,58,52,12,20.7,0,95,32.4,0,0.0,293,66.2,113
20,Bubba Wallace,17,25,21,5,27,21,-16,45,61,1,2.2,0,3,1.0,0,0.0,293,59.5,113
21,Cole Custer,14,22,22,4,29,20,-20,44,64,7,15.9,0,53,18.1,0,0.0,293,62.5,113
22,Michael McDowell,31,27,23,1,31,24,7,43,36,0,0.0,0,11,3.8,0,0.0,293,55.0,113
23,Christopher Bell,28,15,24,2,31,20,9,53,44,11,20.8,0,53,18.1,0,0.0,293,60.0,113
24,Daniel Suarez,37,30,25,9,37,28,1,14,13,0,0.0,0,5,1.7,0,0.0,292,47.7,113
25,Kyle Busch,4,17,26,4,32,18,6,58,52,14,24.1,5,103,35.2,0,0.0,292,69.9,113
26,Brennan Poole,35,28,27,1,36,30,1,13,12,0,0.0,0,3,1.0,0,0.0,292,45.0,113
27,J.J. Yeley,30,29,28,1,31,29,-13,9,22,0,0.0,1,4,1.4,1,0.3,291,43.1,113
28,Reed Sorenson,36,32,29,26,36,31,-4,4,8,0,0.0,0,0,0.0,0,0.0,291,40.8,113
29,Joey Gase,32,33,30,26,36,33,-6,8,14,0,0.0,2,0,0.0,0,0.0,289,38.8,113
30,Corey LaJoie,19,24,31,6,38,26,11,52,41,0,0.0,0,9,3.1,0,0.0,289,46.7,113
31,Chris Buescher,24,23,32,1,34,26,-17,38,55,0,0.0,0,9,3.1,0,0.0,287,48.5,113
32,Timmy Hill,38,35,33,32,38,34,0,9,9,0,0.0,3,0,0.0,0,0.0,286,35.4,113
33,Josh Bilicki,40,31,34,30,40,34,-4,6,10,0,0.0,2,0,0.0,0,0.0,286,32.3,113
34,William Byron,18,34,35,1,35,24,5,17,12,17,100.0,5,106,36.2,3,1.1,279,78.1,113
35,Quin Houff,27,38,36,27,39,37,-3,4,7,0,0.0,0,0,0.0,0,0.0,137,28.3,113
36,Garrett Smithley,26,36,37,26,37,36,-2,3,5,0,0.0,2,0,0.0,0,0.0,127,29.7,113
37,Jimmie Johnson,8,37,38,1,23,27,1,4,3,4,100.0,6,88,30.0,9,10.1,89,76.2,113
38,B.J. McLeod,39,39,39,38,39,39,1,2,1,0,0.0,0,0,0.0,0,0.0,13,26.2,113
39,"Ricky Stenhouse, Jr.",23,40,40,23,23,40,1,2,1,0,0.0,0,0,0.0,0,0.0,0,26.0,113
0,Denny Hamlin,16,8,1,1,38,9,22,77,55,44,57.1,8,176,84.6,12,5.8,208,109.4,114
1,Kyle Busch,26,14,2,1,27,14,6,81,75,22,27.2,4,105,50.5,0,0.0,208,90.7,114
2,Kevin Harvick,20,1,3,1,21,9,9,73,64,32,43.8,2,159,76.4,10,4.8,208,102.0,114
3,Brad Keselowski,8,13,4,1,29,12,29,60,31,41,68.3,5,155,74.5,7,3.4,208,93.5,114
4,Erik Jones,13,7,5,1,36,10,37,81,44,37,45.7,10,155,74.5,27,13.0,208,103.2,114
5,Joey Logano,3,15,6,1,24,9,19,60,41,35,58.3,8,188,90.4,19,9.1,208,98.9,114
6,Aric Almirola,9,5,7,3,14,7,14,57,43,48,84.2,1,208,100.0,0,0.0,208,103.6,114
7,Jimmie Johnson,37,18,8,4,37,17,25,86,61,23,26.7,0,94,45.2,0,0.0,208,77.7,114
8,Matt DiBenedetto,7,10,9,2,29,14,6,89,83,42,47.2,1,129,62.0,0,0.0,208,81.5,114
9,"Martin Truex, Jr.",15,3,10,1,23,7,5,50,45,40,80.0,12,194,93.3,16,7.7,208,115.4,114
10,Christopher Bell,24,11,11,5,31,19,-8,70,78,16,22.9,0,60,28.8,0,0.0,208,69.2,114
11,William Byron,34,4,12,2,34,14,4,66,62,22,33.3,1,113,54.3,0,0.0,208,84.3,114
12,Tyler Reddick,14,26,13,10,35,19,18,85,67,13,15.3,5,51,24.5,0,0.0,208,67.5,114
13,Ryan Newman,6,12,14,1,33,14,-16,78,94,34,43.6,8,138,66.3,5,2.4,208,82.3,114
14,Kurt Busch,18,22,15,6,30,19,6,67,61,17,25.4,2,76,36.5,0,0.0,208,66.9,114
15,Bubba Wallace,21,20,16,1,37,17,-27,61,88,17,27.9,0,71,34.1,3,1.4,208,67.8,114
16,Michael McDowell,23,19,17,7,35,22,-15,62,77,5,8.1,0,16,7.7,0,0.0,208,59.5,114
17,Alex Bowman,19,6,18,2,23,8,12,68,56,52,76.5,5,194,93.3,0,0.0,208,93.8,114
18,Ty Dillon,2,16,19,1,28,17,-31,61,92,11,18.0,1,56,26.9,8,3.8,208,64.9,114
19,Austin Dillon,10,25,20,8,31,18,-36,56,92,15,26.8,0,58,27.9,0,0.0,208,63.3,114
20,Ryan Blaney,5,36,21,1,36,19,-3,49,52,16,32.7,5,84,40.4,0,0.0,208,94.0,114
21,Clint Bowyer,4,2,22,1,24,4,8,34,26,31,91.2,48,193,92.8,71,34.1,208,124.2,114
22,Chris Buescher,32,23,23,2,38,26,-36,39,75,1,2.6,1,13,6.2,0,0.0,208,51.1,114
23,Corey LaJoie,31,24,24,20,37,26,3,49,46,0,0.0,0,0,0.0,0,0.0,207,52.5,114
24,"Ricky Stenhouse, Jr.",39,33,25,12,39,28,5,47,42,0,0.0,1,1,0.5,0,0.0,207,50.1,114
25,Quin Houff,35,30,26,21,38,31,1,31,30,0,0.0,0,0,0.0,0,0.0,207,39.5,114
26,Daniel Suarez,25,28,27,1,34,27,-27,51,78,2,3.9,0,7,3.4,1,0.5,207,44.2,114
27,J.J. Yeley,29,29,28,10,37,29,5,37,32,3,8.1,0,5,2.4,0,0.0,207,41.0,114
28,Joey Gase,30,32,29,23,37,31,-14,29,43,0,0.0,1,0,0.0,0,0.0,207,37.3,114
29,Matt Kenseth,11,21,30,5,34,17,9,91,82,18,19.8,2,107,51.9,0,0.0,206,69.1,114
30,Cole Custer,22,17,31,4,34,25,-13,44,57,13,29.5,1,33,16.0,0,0.0,206,57.1,114
31,Gray Gaulding,28,31,32,28,38,33,-9,11,20,0,0.0,0,0,0.0,0,0.0,206,35.2,114
32,Timmy Hill,33,34,33,14,37,35,-8,14,22,0,0.0,1,1,0.5,0,0.0,204,31.8,114
33,Garrett Smithley,36,35,34,12,37,35,-4,11,15,0,0.0,0,1,0.5,0,0.0,204,29.5,114
34,John Hunter Nemechek,12,38,35,11,39,38,-3,2,5,2,100.0,4,2,1.0,0,0.0,202,27.4,114
35,B.J. McLeod,38,37,36,2,39,37,1,1,0,0,0.0,0,1,0.5,0,0.0,202,26.2,114
36,Brennan Poole,27,27,37,1,35,26,9,50,41,7,14.0,0,24,11.9,1,0.5,201,39.3,114
37,Chase Elliott,17,9,38,1,20,8,31,67,36,56,83.6,14,185,92.5,28,14.0,200,95.0,114
38,Ryan Preece,1,39,39,1,27,29,-34,8,42,8,100.0,0,67,97.1,0,0.0,69,65.3,114
0,Brad Keselowski,9,12,1,1,32,11,14,103,89,58,56.3,27,288,71.1,21,5.2,405,101.0,115
1,Jimmie Johnson,2,10,2,1,20,7,-2,68,70,57,83.8,15,403,99.5,6,1.5,405,111.1,115
2,Chase Elliott,3,5,3,1,21,7,16,91,75,63,69.2,50,345,85.2,38,9.4,405,117.6,115
3,Ryan Blaney,26,9,4,1,29,11,26,106,80,67,63.2,11,334,82.5,0,0.0,405,99.4,115
4,Kyle Busch,11,3,5,2,19,9,8,89,81,68,76.4,11,354,87.4,0,0.0,405,101.0,115
5,Kevin Harvick,22,11,6,1,28,14,-7,100,107,59,59.0,2,300,74.1,0,0.0,405,85.8,115
6,"Martin Truex, Jr.",8,2,7,1,14,3,4,50,46,40,80.0,56,405,100.0,87,21.5,405,127.0,115
7,Kurt Busch,1,14,8,1,27,12,-7,84,91,53,63.1,22,286,70.6,54,13.3,405,93.3,115
8,Tyler Reddick,5,13,9,2,22,10,-2,87,89,65,74.7,4,384,94.8,0,0.0,405,94.4,115
9,Christopher Bell,15,17,10,6,28,15,-9,96,105,53,55.2,1,207,51.1,0,0.0,405,78.6,115
10,Chris Buescher,19,18,11,5,36,17,15,121,106,35,28.9,7,109,26.9,0,0.0,405,75.3,115
11,Erik Jones,14,6,12,1,32,11,26,124,98,79,63.7,15,326,80.5,0,0.0,405,92.6,115
12,Cole Custer,28,21,13,9,31,22,-1,90,91,6,6.7,1,11,2.7,0,0.0,405,64.9,115
13,Joey Logano,7,7,14,1,20,8,-3,75,78,53,70.7,6,349,86.2,26,6.4,405,98.5,115
14,Austin Dillon,6,8,15,1,20,9,-12,81,93,67,82.7,2,395,97.5,0,0.0,405,93.9,115
15,Aric Almirola,40,16,16,2,40,17,16,120,104,34,28.3,2,187,46.2,0,0.0,405,72.8,115
16,John Hunter Nemechek,25,20,17,1,30,21,-8,109,117,12,11.0,3,17,4.2,1,0.2,405,64.4,115
17,Matt DiBenedetto,33,22,18,1,33,17,-1,116,117,49,42.2,3,170,42.0,6,1.5,405,70.8,115
18,Michael McDowell,27,24,19,11,31,24,-14,85,99,4,4.7,1,8,2.0,0,0.0,405,53.7,115
19,Alex Bowman,12,1,20,1,20,4,-14,52,66,47,90.4,52,404,99.8,164,40.5,405,116.8,115
20,William Byron,10,4,21,1,22,7,3,91,88,78,85.7,13,392,97.0,0,0.0,404,101.1,115
21,Ross Chastain,21,19,22,16,35,22,14,78,64,0,0.0,4,0,0.0,0,0.0,403,60.2,115
22,Ryan Preece,29,23,23,1,34,23,3,103,100,9,8.7,0,10,2.5,1,0.2,403,55.2,115
23,Corey LaJoie,24,26,24,3,33,25,5,76,71,13,17.1,1,14,3.5,0,0.0,403,50.2,115
24,"Ricky Stenhouse, Jr.",17,25,25,1,30,23,10,100,90,17,17.0,3,34,8.5,1,0.2,402,60.4,115
25,Ty Dillon,16,28,26,9,37,27,-13,38,51,3,7.9,1,4,1.0,0,0.0,401,50.9,115
26,Matt Kenseth,4,27,27,3,29,22,-3,58,61,8,13.8,1,58,14.5,0,0.0,401,64.7,115
27,Ryan Newman,18,15,28,8,29,19,-16,60,76,24,40.0,2,188,47.0,0,0.0,400,69.9,115
28,Daniel Suarez,37,29,29,9,37,28,-4,69,73,12,17.4,0,12,3.0,0,0.0,399,44.7,115
29,Denny Hamlin,13,35,30,30,40,36,8,12,4,0,0.0,29,0,0.0,0,0.0,398,36.0,115
30,Brennan Poole,35,31,31,1,35,31,-6,26,32,0,0.0,1,2,0.5,0,0.0,398,41.9,115
31,Gray Gaulding,31,30,32,14,34,31,-14,16,30,0,0.0,0,2,0.5,0,0.0,397,39.7,115
32,B.J. McLeod,36,32,33,2,37,32,8,18,10,0,0.0,0,3,0.8,0,0.0,393,37.7,115
33,Garrett Smithley,38,33,34,27,38,34,1,9,8,0,0.0,0,0,0.0,0,0.0,391,33.5,115
34,Timmy Hill,32,36,35,32,38,36,-1,8,9,0,0.0,3,0,0.0,0,0.0,390,30.0,115
35,Quin Houff,30,37,36,29,38,37,-5,13,18,0,0.0,0,0,0.0,0,0.0,390,30.7,115
36,Joey Gase,39,38,37,36,39,38,-6,4,10,0,0.0,0,0,0.0,0,0.0,385,27.2,115
37,J.J. Yeley,34,34,38,34,38,36,-4,7,11,0,0.0,0,0,0.0,0,0.0,251,30.8,115
38,Bubba Wallace,23,39,39,14,39,33,-26,29,55,8,27.6,1,4,2.4,0,0.0,164,43.0,115
39,Clint Bowyer,20,40,40,11,24,34,1,14,13,10,71.4,1,70,72.9,0,0.0,96,48.7,115
0,Chase Elliott,19,4,1,1,32,7,34,71,37,43,60.6,17,174,83.7,28,13.5,208,124.3,116
1,Denny Hamlin,29,13,2,2,32,13,17,78,61,23,29.5,6,119,57.2,0,0.0,208,98.8,116
2,Ryan Blaney,18,2,3,1,18,4,7,36,29,36,100.0,13,208,100.0,2,1.0,208,119.3,116
3,"Ricky Stenhouse, Jr.",24,15,4,1,31,11,38,103,65,61,59.2,7,159,76.4,0,0.0,208,101.9,116
4,Kurt Busch,14,6,5,1,14,6,-3,33,36,32,97.0,4,208,100.0,0,0.0,208,105.1,116
5,Joey Logano,8,3,6,1,19,4,-6,18,24,18,100.0,9,206,99.0,42,20.2,208,114.7,116
6,Brad Keselowski,20,26,7,5,37,18,-1,84,85,18,21.4,2,85,40.9,0,0.0,208,88.9,116
7,Austin Dillon,7,7,8,2,25,8,3,38,35,37,97.4,2,204,98.1,0,0.0,208,97.7,116
8,"Martin Truex, Jr.",15,20,9,3,29,18,18,87,69,9,10.3,8,62,29.8,0,0.0,208,77.7,116
9,Kevin Harvick,16,5,10,1,28,6,24,71,47,54,76.1,37,195,93.8,63,30.3,208,118.1,116
10,Jimmie Johnson,40,14,11,8,40,17,26,99,73,36,36.4,8,112,53.8,0,0.0,208,83.3,116
11,William Byron,1,25,12,1,37,16,20,89,69,22,24.7,3,112,53.8,11,5.3,208,90.9,116
12,John Hunter Nemechek,5,11,13,5,33,16,10,85,75,29,34.1,6,92,44.2,0,0.0,208,79.1,116
13,Tyler Reddick,13,12,14,4,26,13,-6,62,68,41,66.1,0,174,83.7,0,0.0,208,81.3,116
14,Matt DiBenedetto,4,19,15,1,30,12,13,62,49,26,41.9,2,151,72.6,10,4.8,208,88.1,116
15,Clint Bowyer,39,10,16,4,39,21,26,67,41,7,10.4,0,49,23.6,0,0.0,208,63.5,116
16,Ryan Newman,27,21,17,4,35,19,-6,65,71,17,26.2,0,38,18.3,0,0.0,208,67.0,116
17,Cole Custer,9,17,18,9,36,20,-24,69,93,13,18.8,0,42,20.2,0,0.0,208,60.8,116
18,Corey LaJoie,23,27,19,5,38,25,9,72,63,0,0.0,1,3,1.4,0,0.0,208,61.3,116
19,Aric Almirola,6,23,20,6,34,22,3,73,70,11,15.1,0,10,4.8,0,0.0,208,56.8,116
20,Christopher Bell,12,8,21,2,35,14,6,53,47,31,58.5,1,115,55.3,0,0.0,208,75.6,116
21,Chris Buescher,11,22,22,3,30,18,-10,68,78,26,38.2,1,70,33.7,0,0.0,208,62.4,116
22,Matt Kenseth,26,37,23,15,38,30,-4,46,50,0,0.0,5,0,0.0,0,0.0,207,63.5,116
23,Ryan Preece,22,16,24,11,36,21,8,90,82,8,8.9,0,17,8.2,0,0.0,207,53.7,116
24,Michael McDowell,3,24,25,1,27,18,-35,53,88,24,45.3,0,82,39.6,1,0.5,207,55.5,116
25,Erik Jones,10,18,26,5,35,19,14,73,59,38,52.1,5,104,50.2,0,0.0,207,73.4,116
26,Ty Dillon,25,29,27,8,38,28,-12,35,47,0,0.0,0,2,1.0,0,0.0,207,44.5,116
27,Daniel Suarez,28,28,28,10,32,27,-25,51,76,1,2.0,0,6,2.9,0,0.0,207,45.5,116
28,Kyle Busch,17,35,29,5,38,28,-15,43,58,21,48.8,2,40,19.3,0,0.0,207,66.7,116
29,Gray Gaulding,31,30,30,4,36,29,-18,40,58,0,0.0,0,3,1.5,0,0.0,206,40.2,116
30,Alex Bowman,2,1,31,1,35,13,-26,31,57,22,71.0,28,135,65.5,51,24.8,206,99.2,116
31,Quin Houff,35,32,32,18,38,32,-13,31,44,0,0.0,0,0,0.0,0,0.0,205,37.7,116
