,Driver,Start,Mid Race,Finish,High Pos.,Low Pos.,Avg. Pos.,Pass Diff.,Green Flag Passes,Green Flag Times Passed,Quality Passes,Pct. Quality Passes,Fastest Lap,Top 15 Laps,Pct. Top 15 Laps,Laps Led,Pct. Laps Led,Total Laps,DRIVER RATING,race_ID
17,A.J. Allmendinger,25,29,18,13,37,25,13,71,58,1,1.4,0,2,1.0,0,0.0,200,54.0,15
18,Bubba Wallace,26,20,19,11,30,21,-12,61,73,1,1.6,0,8,4.0,0,0.0,200,60.3,15
19,Ty Dillon,37,27,20,15,37,25,-1,55,56,0,0.0,0,1,0.5,0,0.0,200,51.8,15
20,Kasey Kahne,16,15,21,6,27,14,-18,66,84,32,48.5,0,128,64.0,0,0.0,200,69.0,15
21,Paul Menard,30,25,22,19,36,25,2,54,52,0,0.0,0,0,0.0,0,0.0,200,53.9,15
22,Michael McDowell,22,26,23,16,34,26,-8,47,55,0,0.0,0,0,0.0,0,0.0,200,48.3,15
23,Daniel Suarez,20,17,24,7,32,17,3,76,73,17,22.4,0,50,25.0,0,0.0,200,63.1,15
24,Ryan Blaney,6,14,25,2,26,10,-2,49,51,20,40.8,2,169,84.5,0,0.0,200,84.4,15
25,Clint Bowyer,3,6,26,2,26,7,1,48,47,32,66.7,4,184,92.0,0,0.0,200,86.8,15
26,Austin Dillon,18,23,27,4,36,26,-6,62,68,8,12.9,0,6,3.0,0,0.0,199,43.3,15
27,Matt DiBenedetto,28,30,28,6,35,29,-18,34,52,0,0.0,0,1,0.5,0,0.0,199,36.3,15
28,David Ragan,29,34,29,19,37,30,-13,32,45,0,0.0,0,0,0.0,0,0.0,198,39.8,15
