,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track
13,14,7,22,Joey Logano,Shell / Pennzoil '07-'10 RCR Throwback (Roger Penske),Ford,366,running,0,26,0,Darlington
14,15,22,19,"Martin Truex, Jr.",Bass Pro Shops '04 & '05 Busch Champ (Joe Gibbs),Toyota,366,running,0,24,0,Darlington
15,16,6,48,Jimmie Johnson,Ally Chevy Thunder Trophy Truck Throwback (Rick Hendrick),Chevrolet,366,running,3,34,0,Darlington
16,17,30,10,Aric Almirola,Smithfield Tony Stewart '02 Championship (Stewart Haas Racing),Ford,366,running,0,20,0,Darlington
17,18,16,88,Alex Bowman,Axalta Tim Richmond '86 Throwback (Rick Hendrick),Chevrolet,365,running,0,19,0,Darlington
18,19,8,9,Chase Elliott,NAPA 1981 Throwback (Rick Hendrick),Chevrolet,365,running,9,23,0,Darlington
19,20,29,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,365,running,0,17,0,Darlington
20,21,1,24,William Byron,Hendrick Autoguard / City Chevrolet Throwback (Rick Hendrick),Chevrolet,365,running,0,19,0,Darlington
21,22,20,47,Ryan Preece,Kroger Ron Bouchard Throwback (JTG-Daugherty Racing),Chevrolet,365,running,0,15,0,Darlington
22,23,24,6,Ryan Newman,Oscar Mayer / Velveeta '93 Throwback (Jack Roush),Ford,365,running,0,14,0,Darlington
23,24,28,43,Bubba Wallace,Victory Junction Adam Petty Throwback (Richard Petty Motorsports),Chevrolet,365,running,0,13,0,Darlington
24,25,25,0,Landon Cassill,StarCom Fiber Sterling Marlin Throwback (StarCom Racing),Chevrolet,364,running,0,0,0,Darlington
25,26,26,38,David Ragan,Shriners Hospitals David Pearson Throwback (Bob Jenkins),Ford,363,running,0,11,0,Darlington
26,27,32,36,Matt Tifft,Hilliker Glass / Surface (Bob Jenkins),Ford,362,running,0,10,0,Darlington
27,28,31,15,Ross Chastain,Premium Motorsports (Jay Robinson),Chevrolet,361,running,0,0,0,Darlington
28,29,9,11,Denny Hamlin,FedEx 1991 Throwback (Joe Gibbs),Toyota,356,running,0,22,0,Darlington
29,30,34,77,Reed Sorenson,MRN 50th Anniversary Throwback (Spire Motorsports),Chevrolet,355,running,0,7,0,Darlington
30,31,37,27,Joe Nemechek,Premium Motorsports (Jay Robinson),Chevrolet,354,running,0,0,0,Darlington
31,32,35,52,J.J. Yeley,Jacob Companies Bill Blair '53 Throwback (Rick Ware),Chevrolet,352,running,0,0,0,Darlington
32,33,21,17,"Ricky Stenhouse, Jr.",Dog's Most Wanted (Jack Roush),Ford,351,running,0,4,0,Darlington
33,34,39,66,Joey Gase,MBM Motorsports (Carl Long),Toyota,349,running,0,0,0,Darlington
34,35,38,54,Garrett Smithley,AQRE Lennie Pond '73 Throwback (Rick Ware),Chevrolet,344,running,0,0,0,Darlington
35,36,27,32,Corey LaJoie,KeenParts.com / CorvetteParts.net Throwback (Archie St. Hilaire),Ford,330,running,0,1,0,Darlington
36,37,18,8,Daniel Hemric,Caterpillar 1920's Throwback (Richard Childress),Chevrolet,274,crash,0,1,0,Darlington
37,38,23,34,Michael McDowell,Dockside Logistics Jimmy Means Throwback (Bob Jenkins),Ford,274,crash,0,1,0,Darlington
38,39,36,51,B.J. McLeod,Jacob Companies Stroker Ace Throwback (Rick Ware),Chevrolet,194,crash,0,0,0,Darlington
0,1,1,4,Kevin Harvick,Mobil 1 (Stewart Haas Racing),Ford,160,running,118,58,6,Indianapolis
1,2,4,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,160,running,11,52,1,Indianapolis
2,3,15,43,Bubba Wallace,World Wide Technology (Richard Petty Motorsports),Chevrolet,160,running,0,34,0,Indianapolis
3,4,29,24,William Byron,Liberty University (Rick Hendrick),Chevrolet,160,running,1,35,0,Indianapolis
4,5,3,14,Clint Bowyer,Rush Truck Centers / Cummins (Stewart Haas Racing),Ford,160,running,0,38,0,Indianapolis
5,6,33,11,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,160,running,0,34,0,Indianapolis
6,7,9,12,Ryan Blaney,Wabash National / Supreme (Roger Penske),Ford,160,running,19,45,0,Indianapolis
7,8,22,6,Ryan Newman,Acorns (Jack Roush),Ford,160,running,0,35,0,Indianapolis
8,9,24,9,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,160,running,0,28,0,Indianapolis
9,10,2,21,Paul Menard,Menards / Dutch Boy (Wood Brothers),Ford,160,running,1,27,0,Indianapolis
10,11,20,41,Daniel Suarez,Haas Automation (Stewart Haas Racing),Ford,160,running,0,31,0,Indianapolis
11,12,18,3,Austin Dillon,Symbicort (Richard Childress),Chevrolet,160,running,0,25,0,Indianapolis
12,13,25,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,160,running,0,24,0,Indianapolis
13,14,10,10,Aric Almirola,Smithfield / Meijer (Stewart Haas Racing),Ford,160,running,0,24,0,Indianapolis
14,15,16,37,Chris Buescher,Kroger Fast Lane to Flavor (JTG-Daugherty Racing),Chevrolet,160,running,0,23,0,Indianapolis
15,16,23,47,Ryan Preece,Kroger / Cheerios / Tyson (JTG-Daugherty Racing),Chevrolet,160,running,0,21,0,Indianapolis
16,17,21,34,Michael McDowell,Long John Silver's (Bob Jenkins),Ford,160,running,0,20,0,Indianapolis
17,18,26,95,Matt DiBenedetto,Horizon Transport (Leavine Family Racing),Toyota,160,running,0,19,0,Indianapolis
18,19,30,32,Corey LaJoie,Ark.io (Archie St. Hilaire),Ford,160,running,0,18,0,Indianapolis
19,20,17,38,David Ragan,Mannington Commercial (Bob Jenkins),Ford,160,running,0,17,0,Indianapolis
20,21,13,88,Alex Bowman,Nationwide (Rick Hendrick),Chevrolet,160,running,0,18,0,Indianapolis
21,22,34,15,Ross Chastain,Xchange of America / Busey Bank (Jay Robinson),Chevrolet,160,running,1,0,0,Indianapolis
22,23,37,77,Reed Sorenson,Go-Parts.com (Spire Motorsports),Chevrolet,160,running,0,14,0,Indianapolis
23,24,36,27,Ryan Sieg,Sci Aps (Jay Robinson),Chevrolet,157,running,0,0,0,Indianapolis
24,25,35,51,B.J. McLeod,Jacob Companies (Rick Ware),Ford,157,running,0,0,0,Indianapolis
25,26,40,54,J.J. Yeley,Maximum Elevation Off-Road (Rick Ware),Chevrolet,157,running,0,0,0,Indianapolis
26,27,27,19,"Martin Truex, Jr.",Auto-Owners Insurance (Joe Gibbs),Toyota,156,running,0,10,0,Indianapolis
27,28,38,52,Garrett Smithley,Honest Abe Roofing (Rick Ware),Ford,156,running,0,0,0,Indianapolis
28,29,39,53,Josh Bilicki,AQRE.app (Rick Ware),Ford,155,running,0,0,0,Indianapolis
29,30,8,1,Kurt Busch,Monster Energy (Chip Ganassi),Chevrolet,155,running,0,11,0,Indianapolis
30,31,12,17,"Ricky Stenhouse, Jr.",Fastenal (Jack Roush),Ford,153,running,0,6,0,Indianapolis
31,32,28,36,Matt Tifft,Southeastern Equipment & Supply / Meijer (Bob Jenkins),Ford,147,crash,0,5,0,Indianapolis
32,33,19,42,Kyle Larson,McDonald's McDelivery (Chip Ganassi),Chevrolet,129,crash,5,22,0,Indianapolis
33,34,11,8,Daniel Hemric,Liberty National (Richard Childress),Chevrolet,109,crash,0,3,0,Indianapolis
34,35,5,48,Jimmie Johnson,Ally (Rick Hendrick),Chevrolet,105,crash,4,10,0,Indianapolis
35,36,32,96,Parker Kligerman,TRD 40th Anniversary (Gaunt Brothers),Toyota,104,crash,0,0,0,Indianapolis
36,37,7,18,Kyle Busch,M&M's Hazelnut (Joe Gibbs),Toyota,87,engine,0,5,0,Indianapolis
37,38,6,2,Brad Keselowski,Discount Tire (Roger Penske),Ford,48,crash,0,1,0,Indianapolis
38,39,14,20,Erik Jones,Stanley Tools Wish For Our Heroes (Joe Gibbs),Toyota,48,crash,0,1,0,Indianapolis
39,40,31,0,Landon Cassill,Sherfick Companies (StarCom Racing),Chevrolet,40,crash,0,0,0,Indianapolis
0,1,24,19,"Martin Truex, Jr.",Bass Pro Shops / Tracker ATVs & Boats (Joe Gibbs),Toyota,267,running,32,53,6,Las Vegas
1,2,3,4,Kevin Harvick,Mobil 1 (Stewart Haas Racing),Ford,267,running,47,51,0,Las Vegas
2,3,18,2,Brad Keselowski,Auto Trader (Roger Penske),Ford,267,running,0,34,0,Las Vegas
3,4,8,9,Chase Elliott,NAPA Filters (Rick Hendrick),Chevrolet,267,running,12,39,0,Las Vegas
4,5,23,12,Ryan Blaney,PPG (Roger Penske),Ford,267,running,1,35,0,Las Vegas
5,6,19,88,Alex Bowman,Nationwide (Rick Hendrick),Chevrolet,267,running,0,32,0,Las Vegas
6,7,14,24,William Byron,Liberty University (Rick Hendrick),Chevrolet,267,running,6,39,0,Las Vegas
7,8,15,42,Kyle Larson,Clover (Chip Ganassi),Chevrolet,267,running,2,39,0,Las Vegas
8,9,22,22,Joey Logano,Pennzoil (Roger Penske),Ford,267,running,105,47,1,Las Vegas
9,10,17,6,Ryan Newman,Oscar Mayer Bacon (Jack Roush),Ford,267,running,0,27,0,Las Vegas
10,11,9,48,Jimmie Johnson,Ally (Rick Hendrick),Chevrolet,267,running,0,26,0,Las Vegas
11,12,7,3,Austin Dillon,Bass Pro Shops / Tracker Off Road (Richard Childress),Chevrolet,267,running,0,31,0,Las Vegas
12,13,4,10,Aric Almirola,Smithfield (Stewart Haas Racing),Ford,267,running,3,32,0,Las Vegas
13,14,21,21,Paul Menard,Menards / Monster (Wood Brothers),Ford,267,running,0,23,0,Las Vegas
14,15,13,11,Denny Hamlin,FedEx Ground (Joe Gibbs),Toyota,267,running,3,26,0,Las Vegas
15,16,27,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,267,running,0,21,0,Las Vegas
16,17,6,8,Daniel Hemric,Cessna / Beechcraft (Richard Childress),Chevrolet,267,running,0,20,0,Las Vegas
17,18,28,37,Chris Buescher,Natural Light Seltzer (JTG-Daugherty Racing),Chevrolet,266,running,1,19,0,Las Vegas
18,19,20,18,Kyle Busch,M&M's Hazelnut (Joe Gibbs),Toyota,266,running,0,18,0,Las Vegas
19,20,2,41,Daniel Suarez,Haas Automation (Stewart Haas Racing),Ford,266,running,29,24,0,Las Vegas
20,21,25,95,Matt DiBenedetto,Barstool Sports (Leavine Family Racing),Toyota,266,running,9,16,0,Las Vegas
21,22,11,38,David Ragan,Select Blinds (Bob Jenkins),Ford,266,running,0,15,0,Las Vegas
22,23,31,43,Bubba Wallace,Victory Junction (Richard Petty Motorsports),Chevrolet,266,running,0,14,0,Las Vegas
23,24,10,34,Michael McDowell,Love's Travel Stops / International Trucks (Bob Jenkins),Ford,266,running,16,13,0,Las Vegas
24,25,1,14,Clint Bowyer,Toco Warranty (Stewart Haas Racing),Ford,266,running,1,12,0,Las Vegas
25,26,12,17,"Ricky Stenhouse, Jr.",Sunny D (Jack Roush),Ford,265,running,0,11,0,Las Vegas
26,27,16,47,Ryan Preece,Kroger / Nature Valley / Clorox (JTG-Daugherty Racing),Chevrolet,265,running,0,10,0,Las Vegas
27,28,33,32,Corey LaJoie,Schluter Systems (Archie St. Hilaire),Ford,265,running,0,9,0,Las Vegas
28,29,30,0,Landon Cassill,William Hill Sports Book / Sahara Las Vegas (StarCom Racing),Chevrolet,265,running,0,0,0,Las Vegas
29,30,29,36,Matt Tifft,Surface Sunscreen / Maui Jim (Bob Jenkins),Ford,264,running,0,7,0,Las Vegas
30,31,32,15,Ross Chastain,Xchange of America (Jay Robinson),Chevrolet,262,running,0,0,0,Las Vegas
31,32,36,53,J.J. Yeley,AQRE.app (Rick Ware),Ford,260,running,0,0,0,Las Vegas
32,33,35,51,B.J. McLeod,Jacob Companies (Rick Ware),Ford,259,running,0,0,0,Las Vegas
33,34,38,27,Joe Nemechek,Premium Motorsports (Jay Robinson),Chevrolet,257,running,0,0,0,Las Vegas
34,35,34,52,Garrett Smithley,Honest Abe Roofing (Rick Ware),Ford,255,running,0,0,0,Las Vegas
35,36,26,20,Erik Jones,Craftsman / Gas Monkey Garage (Joe Gibbs),Toyota,254,running,0,2,0,Las Vegas
36,37,37,77,Reed Sorenson,Spire Motorsports,Chevrolet,250,running,0,1,0,Las Vegas
37,38,39,66,Joey Gase,Nevada Donor Network / Fan Memories (Carl Long),Toyota,249,running,0,0,0,Las Vegas
38,39,5,1,Kurt Busch,Gear Wrench (Chip Ganassi),Chevrolet,187,crash,0,8,0,Las Vegas
0,1,8,19,"Martin Truex, Jr.",Bass Pro Shops / Tracker ATVs & Boats (Joe Gibbs),Toyota,400,running,109,59,6,Richmond
1,2,4,18,Kyle Busch,M&M's Hazelnut Spread (Joe Gibbs),Toyota,400,running,202,54,1,Richmond
2,3,6,11,Denny Hamlin,FedEx Office (Joe Gibbs),Toyota,400,running,0,49,0,Richmond
3,4,1,2,Brad Keselowski,Discount Tire (Roger Penske),Ford,400,running,89,48,0,Richmond
4,5,19,6,Ryan Newman,Roush Performance / Wyndham Rewards (Jack Roush),Ford,400,running,0,38,0,Richmond
5,6,13,42,Kyle Larson,Credit One Bank (Chip Ganassi),Chevrolet,400,running,0,32,0,Richmond
6,7,2,4,Kevin Harvick,Mobil 1 (Stewart Haas Racing),Ford,400,running,0,41,0,Richmond
7,8,5,14,Clint Bowyer,CSU / One Cure (Stewart Haas Racing),Ford,400,running,0,37,0,Richmond
8,9,14,41,Daniel Suarez,Haas Automation (Stewart Haas Racing),Ford,400,running,0,28,0,Richmond
9,10,10,48,Jimmie Johnson,Ally (Rick Hendrick),Chevrolet,400,running,0,31,0,Richmond
10,11,28,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,400,running,0,26,0,Richmond
11,12,37,43,Bubba Wallace,Victory Junction (Richard Petty Motorsports),Chevrolet,400,running,0,25,0,Richmond
12,13,3,9,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,399,running,0,31,0,Richmond
13,14,12,95,Matt DiBenedetto,Toyota Express Maintenance (Leavine Family Racing),Toyota,399,running,0,27,0,Richmond
14,15,18,17,"Ricky Stenhouse, Jr.",Wypall / Fastenal (Jack Roush),Ford,399,running,0,22,0,Richmond
15,16,7,10,Aric Almirola,Smithfield (Stewart Haas Racing),Ford,399,running,0,21,0,Richmond
16,17,15,12,Ryan Blaney,Menards / Richmond (Roger Penske),Ford,399,running,0,20,0,Richmond
17,18,9,1,Kurt Busch,Monster Energy (Chip Ganassi),Chevrolet,398,running,0,20,0,Richmond
18,19,27,38,David Ragan,MDS Trucking (Bob Jenkins),Ford,398,running,0,18,0,Richmond
19,20,26,36,Matt Tifft,Surface Sunscreen / Tunity (Bob Jenkins),Ford,397,running,0,17,0,Richmond
20,21,11,34,Michael McDowell,Long John Silver's (Bob Jenkins),Ford,397,running,0,16,0,Richmond
21,22,17,3,Austin Dillon,Okuma (Richard Childress),Chevrolet,396,running,0,15,0,Richmond
22,23,20,88,Alex Bowman,Nationwide (Rick Hendrick),Chevrolet,396,running,0,14,0,Richmond
23,24,25,24,William Byron,Liberty University (Rick Hendrick),Chevrolet,396,running,0,13,0,Richmond
24,25,22,8,Daniel Hemric,Caterpillar (Richard Childress),Chevrolet,396,running,0,12,0,Richmond
25,26,30,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,396,running,0,11,0,Richmond
26,27,24,21,Paul Menard,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,395,running,0,10,0,Richmond
27,28,34,0,Landon Cassill,University of Richmond (StarCom Racing),Chevrolet,395,running,0,0,0,Richmond
28,29,29,32,Corey LaJoie,Keen Parts / CorvetteParts.net (Archie St. Hilaire),Ford,395,running,0,8,0,Richmond
29,30,21,47,Ryan Preece,Kroger / Cheerios / Clorox (JTG-Daugherty Racing),Chevrolet,394,running,0,7,0,Richmond
30,31,23,37,Chris Buescher,Fast Lane to Flavor (JTG-Daugherty Racing),Chevrolet,393,running,0,6,0,Richmond
31,32,32,51,Austin Theriault,Jacob Companies (Rick Ware),Chevrolet,392,running,0,5,0,Richmond
32,33,38,52,J.J. Yeley,Byrna (Rick Ware),Ford,391,running,0,0,0,Richmond
33,34,35,53,Spencer Boyd,AQRE.app (Rick Ware),Chevrolet,388,running,0,0,0,Richmond
34,35,36,27,Quin Houff,Premium Motorsports (Jay Robinson),Chevrolet,384,running,0,2,0,Richmond
35,36,31,15,Ross Chastain,Premium Motorsports (Jay Robinson),Chevrolet,265,brakes,0,0,0,Richmond
36,37,33,77,Reed Sorenson,Go-Parts.com (Spire Motorsports),Chevrolet,233,crash,0,1,0,Richmond
37,38,16,20,Erik Jones,Craftsman (Joe Gibbs),Toyota,400,disqualified,0,1,0,Richmond
0,1,19,9,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,109,running,35,52,6,Charlotte (Road)
1,2,2,88,Alex Bowman,Nationwide Retirement Plans (Rick Hendrick),Chevrolet,109,running,0,35,0,Charlotte (Road)
2,3,6,4,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Ford,109,running,34,43,0,Charlotte (Road)
3,4,5,14,Clint Bowyer,Rush Truck Centers / Cummins (Stewart Haas Racing),Ford,109,running,2,49,0,Charlotte (Road)
4,5,11,2,Brad Keselowski,Alliance Truck Parts (Roger Penske),Ford,109,running,3,46,0,Charlotte (Road)
5,6,1,24,William Byron,UniFirst (Rick Hendrick),Chevrolet,109,running,23,41,0,Charlotte (Road)
6,7,8,19,"Martin Truex, Jr.",Bass Pro Shops / Tracker ATVs & Boats (Joe Gibbs),Toyota,109,running,1,34,0,Charlotte (Road)
7,8,9,12,Ryan Blaney,Menards / Duracell Optimum (Roger Penske),Ford,109,running,0,35,0,Charlotte (Road)
8,9,4,48,Jimmie Johnson,Ally (Rick Hendrick),Chevrolet,109,running,0,35,0,Charlotte (Road)
9,10,3,22,Joey Logano,Shell / Pennzoil / Auto Trader (Roger Penske),Ford,109,running,4,34,0,Charlotte (Road)
10,11,18,95,Matt DiBenedetto,Toyota Express Maintenance (Leavine Family Racing),Toyota,109,running,0,26,0,Charlotte (Road)
11,12,22,34,Michael McDowell,Love's Travel Stops / Delo (Bob Jenkins),Ford,109,running,0,30,0,Charlotte (Road)
12,13,7,42,Kyle Larson,Clover (Chip Ganassi),Chevrolet,109,running,5,34,1,Charlotte (Road)
13,14,16,10,Aric Almirola,Smithfield (Stewart Haas Racing),Ford,109,running,0,27,0,Charlotte (Road)
14,15,29,13,Ty Dillon,GEICO Military (Germain Racing),Chevrolet,109,running,0,22,0,Charlotte (Road)
15,16,10,21,Paul Menard,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,109,running,0,23,0,Charlotte (Road)
16,17,21,17,"Ricky Stenhouse, Jr.",Sunny D (Jack Roush),Ford,109,running,0,20,0,Charlotte (Road)
17,18,12,37,Chris Buescher,Velveeta / Minute / Thomas' (JTG-Daugherty Racing),Chevrolet,109,running,0,19,0,Charlotte (Road)
18,19,28,11,Denny Hamlin,FedEx Freight (Joe Gibbs),Toyota,109,running,0,18,0,Charlotte (Road)
19,20,23,1,Kurt Busch,Monster Energy (Chip Ganassi),Chevrolet,109,running,0,17,0,Charlotte (Road)
20,21,14,47,Ryan Preece,Kroger / Nature Valley / Velveeta (JTG-Daugherty Racing),Chevrolet,109,running,0,16,0,Charlotte (Road)
21,22,37,15,Ross Chastain,Empire Auto Group (Jay Robinson),Chevrolet,109,running,0,0,0,Charlotte (Road)
22,23,30,3,Austin Dillon,Jack Daniel's (Richard Childress),Chevrolet,109,running,0,14,0,Charlotte (Road)
23,24,25,43,Bubba Wallace,LeithCars.com (Richard Petty Motorsports),Chevrolet,109,running,0,13,0,Charlotte (Road)
24,25,36,36,Matt Tifft,Louis Kemp Crab Delights (Bob Jenkins),Ford,109,running,0,12,0,Charlotte (Road)
25,26,40,96,Parker Kligerman,TRD 40th Anniversary (Gaunt Brothers),Toyota,109,running,0,0,0,Charlotte (Road)
26,27,26,32,Corey LaJoie,Samaritan's Feet / Venture Companies (Archie St. Hilaire),Ford,109,running,0,10,0,Charlotte (Road)
27,28,32,0,Landon Cassill,Coladka / Bos Klein (StarCom Racing),Chevrolet,109,running,0,0,0,Charlotte (Road)
28,29,31,51,J.J. Yeley,Jacob Companies (Rick Ware),Chevrolet,109,running,0,0,0,Charlotte (Road)
29,30,33,66,Timmy Hill,Duracap Asphalt (Carl Long),Toyota,109,running,0,0,0,Charlotte (Road)
30,31,39,27,Joe Nemechek,Premium Motorsports (Jay Robinson),Chevrolet,109,running,0,0,0,Charlotte (Road)
31,32,24,6,Ryan Newman,Performance Plus Motor Oil (Jack Roush),Ford,109,running,0,5,0,Charlotte (Road)
32,33,20,8,Daniel Hemric,CAT Next Gen Excavators (Richard Childress),Chevrolet,109,running,2,4,0,Charlotte (Road)
33,34,13,41,Daniel Suarez,Haas Automation (Stewart Haas Racing),Ford,108,running,0,7,0,Charlotte (Road)
34,35,27,38,David Ragan,Citgard Heavy Duty Engine Oil (Bob Jenkins),Ford,108,running,0,2,0,Charlotte (Road)
35,36,35,52,Garrett Smithley,Victory Lane / Kendall Oil (Rick Ware),Ford,100,axle,0,0,0,Charlotte (Road)
36,37,17,18,Kyle Busch,M&M's Hazelnut (Joe Gibbs),Toyota,99,suspension,0,1,0,Charlotte (Road)
37,38,34,53,Josh Bilicki,AQRE.app (Rick Ware),Chevrolet,83,suspension,0,0,0,Charlotte (Road)
38,39,38,77,Reed Sorenson,Aquesta Bank (Spire Motorsports),Chevrolet,66,electrical,0,1,0,Charlotte (Road)
39,40,15,20,Erik Jones,Craftsman (Joe Gibbs),Toyota,23,crash,0,1,0,Charlotte (Road)
0,1,2,42,Kyle Larson,Clover (Chip Ganassi),Chevrolet,400,running,154,57,5,Dover
1,2,3,19,"Martin Truex, Jr.",Bass Pro Shops / Tracker ATVs & Boats (Joe Gibbs),Toyota,400,running,15,54,1,Dover
2,3,12,88,Alex Bowman,Cincinnati Inc. (Rick Hendrick),Chevrolet,400,running,0,44,0,Dover
3,4,4,4,Kevin Harvick,Busch Beer All Harvick (Stewart Haas Racing),Ford,400,running,0,46,0,Dover
4,5,1,11,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,400,running,218,50,1,Dover
5,6,18,18,Kyle Busch,Interstate Batteries (Joe Gibbs),Toyota,400,running,0,34,0,Dover
6,7,20,95,Matt DiBenedetto,Dumont Jets (Leavine Family Racing),Toyota,400,running,0,30,0,Dover
7,8,11,48,Jimmie Johnson,Ally (Rick Hendrick),Chevrolet,400,running,1,39,0,Dover
8,9,9,1,Kurt Busch,Gear Wrench (Chip Ganassi),Chevrolet,399,running,3,28,0,Dover
9,10,17,14,Clint Bowyer,IT Savvy / Haas (Stewart Haas Racing),Ford,399,running,0,28,0,Dover
10,11,16,2,Brad Keselowski,Wurth (Roger Penske),Ford,399,running,0,28,0,Dover
11,12,13,21,Paul Menard,Menards / Cardell Cabinets (Wood Brothers),Ford,398,running,6,25,0,Dover
12,13,6,24,William Byron,Axalta (Rick Hendrick),Chevrolet,398,running,1,31,0,Dover
13,14,15,41,Daniel Suarez,Arris (Stewart Haas Racing),Ford,398,running,1,23,0,Dover
14,15,8,20,Erik Jones,DeWalt (Joe Gibbs),Toyota,398,running,0,28,0,Dover
15,16,19,17,"Ricky Stenhouse, Jr.",Fastenal (Jack Roush),Ford,398,running,0,21,0,Dover
16,17,7,10,Aric Almirola,Smithfield (Stewart Haas Racing),Ford,398,running,0,20,0,Dover
17,18,27,3,Austin Dillon,"AAA ""We Know Cars & Drivers"" (Richard Childress)",Chevrolet,398,running,0,19,0,Dover
18,19,32,47,Ryan Preece,Kroger / No Yolks / Velveeta (JTG-Daugherty Racing),Chevrolet,396,running,0,18,0,Dover
19,20,26,43,Bubba Wallace,Victory Junction (Richard Petty Motorsports),Chevrolet,395,running,0,17,0,Dover
20,21,31,8,Daniel Hemric,Lucas Oil 30 Years (Richard Childress),Chevrolet,394,running,0,16,0,Dover
21,22,24,6,Ryan Newman,Acronis (Jack Roush),Ford,393,running,0,15,0,Dover
22,23,25,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,393,running,1,14,0,Dover
23,24,28,34,Michael McDowell,The Pete Store / Peterbilt (Bob Jenkins),Ford,391,running,0,13,0,Dover
24,25,23,36,Matt Tifft,Delaware Lottery / Surface Sunscreen (Bob Jenkins),Ford,390,running,0,12,0,Dover
25,26,30,0,Landon Cassill,Clean Origin (StarCom Racing),Chevrolet,389,running,0,0,0,Dover
26,27,21,38,David Ragan,MDS Transport (Bob Jenkins),Ford,388,running,0,10,0,Dover
27,28,29,32,Corey LaJoie,Drydene (Archie St. Hilaire),Ford,385,running,0,9,0,Dover
28,29,33,51,B.J. McLeod,Jacob Companies (Rick Ware),Chevrolet,382,running,0,0,0,Dover
29,30,36,27,Joe Nemechek,Premium Motorsports (Jay Robinson),Chevrolet,381,running,0,0,0,Dover
30,31,34,15,Ross Chastain,Low-T Center (Jay Robinson),Chevrolet,380,running,0,0,0,Dover
31,32,35,52,J.J. Yeley,Drive Smart / Element Protection Plans (Rick Ware),Ford,380,running,0,0,0,Dover
32,33,37,54,Garrett Smithley,AQRE.app (Rick Ware),Ford,377,running,0,0,0,Dover
33,34,14,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,375,running,0,3,0,Dover
34,35,10,12,Ryan Blaney,PPG (Roger Penske),Ford,297,suspension,0,6,0,Dover
35,36,22,37,Chris Buescher,Kroger - Simmer Like A Winner (JTG-Daugherty Racing),Chevrolet,232,engine,0,1,0,Dover
36,37,38,77,Reed Sorenson,Spire Motorsports,Chevrolet,180,handling,0,1,0,Dover
37,38,5,9,Chase Elliott,Hooters - Give a Hoot (Rick Hendrick),Chevrolet,8,engine,0,1,0,Dover
0,1,9,12,Ryan Blaney,Dent Wizard (Roger Penske),Ford,188,running,35,46,5,Talladega
1,2,13,6,Ryan Newman,Wyndham Rewards (Jack Roush),Ford,188,running,3,35,0,Talladega
2,3,40,11,Denny Hamlin,FedEx Ground (Joe Gibbs),Toyota,188,running,0,34,0,Talladega
3,4,5,10,Aric Almirola,Smithfield Racin' for Bacon (Stewart Haas Racing),Ford,188,running,3,33,0,Talladega
4,5,22,34,Michael McDowell,Love's Travel Stops / Delo (Bob Jenkins),Ford,188,running,0,32,0,Talladega
5,6,20,3,Austin Dillon,American Ethanol / RCR 50th (Richard Childress),Chevrolet,188,running,1,38,0,Talladega
6,7,33,32,Corey LaJoie,VisoneRV.com (Archie St. Hilaire),Ford,188,running,0,30,0,Talladega
7,8,1,9,Chase Elliott,NAPA Night Vision LED Lamps (Rick Hendrick),Chevrolet,188,running,19,29,0,Talladega
8,9,7,17,"Ricky Stenhouse, Jr.",Sunny D (Jack Roush),Ford,188,running,32,35,0,Talladega
9,10,21,13,Ty Dillon,GEICO / RCR 50th Anniversary (Germain Racing),Chevrolet,188,running,0,27,0,Talladega
10,11,10,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,188,running,16,44,0,Talladega
11,12,34,15,Ross Chastain,Low-T Center (Jay Robinson),Chevrolet,188,running,0,0,0,Talladega
12,13,16,36,Matt Tifft,Surface Sunscreen / Tunity (Bob Jenkins),Ford,188,running,0,24,0,Talladega
13,14,25,0,Landon Cassill,Graybar / Superior Essex (StarCom Racing),Chevrolet,188,running,1,0,0,Talladega
14,15,32,96,Parker Kligerman,TRD 40th Anniversary (Gaunt Brothers),Toyota,188,running,0,0,0,Talladega
15,16,14,21,Paul Menard,Menards / Tarkett (Wood Brothers),Ford,188,running,0,21,0,Talladega
16,17,15,4,Kevin Harvick,Busch Light (Stewart Haas Racing),Ford,188,running,0,20,0,Talladega
17,18,30,47,Ryan Preece,Kroger / Cheerios / Bush's Beans (JTG-Daugherty Racing),Chevrolet,188,running,0,19,0,Talladega
