,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track
23,24,23,47,A.J. Allmendinger,Kroger ClickList / Coffeemate / Cheez-It (JTG-Daugherty Racing),Chevrolet,266,running,0,13,0,Las Vegas
24,25,22,3,Austin Dillon,Lucas Oil (Richard Childress),Chevrolet,266,running,0,12,0,Las Vegas
25,26,31,32,Matt DiBenedetto,Can-Am / Kappa (Archie St. Hilaire),Ford,265,running,0,11,0,Las Vegas
26,27,27,34,Landon Cassill,Love's Travel Stops (Bob Jenkins),Ford,264,running,0,10,0,Las Vegas
27,28,33,72,Cole Whitt,Rinnai Tankless Water Heaters (Mark Smith),Chevrolet,264,running,0,9,0,Las Vegas
28,29,32,38,David Ragan,Juice Battery (Bob Jenkins),Ford,264,running,0,8,0,Las Vegas
29,30,17,41,Kurt Busch,Monster Energy / Haas Automation (Stewart Haas Racing),Ford,263,running,0,7,0,Las Vegas
30,31,37,15,Reed Sorenson,Premium Motorsports (Jay Robinson),Toyota,262,running,0,6,0,Las Vegas
31,32,36,33,Jeffrey Earnhardt,Superior Logistics Services (Joe Falk),Chevrolet,261,running,0,5,0,Las Vegas
32,33,29,17,"Ricky Stenhouse, Jr.",Fastenal (Jack Roush),Ford,261,running,0,4,0,Las Vegas
33,34,35,23,Gray Gaulding,Schulter Systems (BK Racing),Toyota,260,running,0,3,0,Las Vegas
34,35,38,55,Derrike Cope,Premium Motorsports (Jay Robinson),Chevrolet,254,running,0,2,0,Las Vegas
35,36,28,10,Danica Patrick,Aspen Dental (Stewart Haas Racing),Ford,246,engine,0,1,0,Las Vegas
36,37,39,51,Timmy Hill,Dashub (Rick Ware),Chevrolet,135,suspension,0,0,0,Las Vegas
37,38,19,4,Kevin Harvick,Mobil 1 Annual Protection (Stewart Haas Racing),Ford,68,crash,0,1,0,Las Vegas
38,39,34,83,Corey LaJoie,JAS Expedited Trucking (BK Racing),Toyota,16,crash,0,1,0,Las Vegas
0,1,22,31,Ryan Newman,Grainger (Richard Childress),Chevrolet,314,running,6,42,5,Phoenix
1,2,4,42,Kyle Larson,Credit One Bank (Chip Ganassi),Chevrolet,314,running,3,53,0,Phoenix
2,3,9,18,Kyle Busch,Skittles (Joe Gibbs),Toyota,314,running,114,47,0,Phoenix
3,4,21,17,"Ricky Stenhouse, Jr.",Fastenal (Jack Roush),Ford,314,running,0,33,0,Phoenix
4,5,6,2,Brad Keselowski,Alliance Truck Parts (Roger Penske),Ford,314,running,0,11,0,Phoenix
5,6,23,4,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Ford,314,running,0,22,0,Phoenix
6,7,27,19,Daniel Suarez,Arris High-Speed Modems (Joe Gibbs),Toyota,314,running,0,30,0,Phoenix
7,8,8,77,Erik Jones,5-hour Energy Extra Strength (Barney Visser),Toyota,314,running,0,33,0,Phoenix
8,9,14,48,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,314,running,0,38,0,Phoenix
9,10,19,11,Denny Hamlin,FedEx Freight (Joe Gibbs),Toyota,314,running,0,29,0,Phoenix
10,11,16,78,"Martin Truex, Jr.",Bass Pro Shops / Tracker Boats (Barney Visser),Toyota,314,running,0,26,0,Phoenix
11,12,7,24,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,314,running,106,42,1,Phoenix
12,13,13,14,Clint Bowyer,Haas Automation (Stewart Haas Racing),Ford,314,running,0,24,0,Phoenix
13,14,3,88,"Dale Earnhardt, Jr.",Axalta (Rick Hendrick),Chevrolet,314,running,0,24,0,Phoenix
14,15,5,1,Jamie McMurray,Cessna / Beechcraft (Chip Ganassi),Chevrolet,314,running,0,33,0,Phoenix
15,16,15,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,314,running,0,21,0,Phoenix
16,17,28,43,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,314,running,0,20,0,Phoenix
